DATE,BAMLH0A0HYM2
2014-07-29,3.80
2014-07-30,3.79
2014-07-31,4.04
2014-08-01,4.25
2014-08-04,4.24
2014-08-05,4.17
2014-08-06,4.21
2014-08-07,4.20
2014-08-08,4.20
2014-08-11,4.12
2014-08-12,4.07
2014-08-13,4.03
2014-08-14,3.97
2014-08-15,3.97
2014-08-18,3.89
2014-08-19,3.85
2014-08-20,3.79
2014-08-21,3.81
2014-08-22,3.79
2014-08-25,3.77
2014-08-26,3.78
2014-08-27,3.81
2014-08-28,3.82
2014-08-29,3.80
2014-08-31,3.84
2014-09-01,3.84
2014-09-02,3.80
2014-09-03,3.83
2014-09-04,3.85
2014-09-05,3.93
2014-09-08,3.92
2014-09-09,3.93
2014-09-10,4.01
2014-09-11,4.05
2014-09-12,4.03
2014-09-15,4.06
2014-09-16,4.10
2014-09-17,4.05
2014-09-18,3.98
2014-09-19,3.97
2014-09-22,4.02
2014-09-23,4.13
2014-09-24,4.18
2014-09-25,4.33
2014-09-26,4.40
2014-09-29,4.51
2014-09-30,4.40
2014-10-01,4.45
2014-10-02,4.42
2014-10-03,4.29
2014-10-06,4.26
2014-10-07,4.37
2014-10-08,4.48
2014-10-09,4.52
2014-10-10,4.66
2014-10-13,4.66
2014-10-14,4.83
2014-10-15,5.08
2014-10-16,4.98
2014-10-17,4.68
2014-10-20,4.68
2014-10-21,4.50
2014-10-22,4.44
2014-10-23,4.38
2014-10-24,4.38
2014-10-27,4.41
2014-10-28,4.39
2014-10-29,4.32
2014-10-30,4.35
2014-10-31,4.30
2014-11-03,4.29
2014-11-04,4.35
2014-11-05,4.32
2014-11-06,4.30
2014-11-07,4.36
2014-11-10,4.32
2014-11-11,4.32
2014-11-12,4.33
2014-11-13,4.37
2014-11-14,4.43
2014-11-17,4.46
2014-11-18,4.53
2014-11-19,4.57
2014-11-20,4.61
2014-11-21,4.54
2014-11-24,4.54
2014-11-25,4.54
2014-11-26,4.56
2014-11-27,4.56
2014-11-28,4.64
2014-11-30,4.67
2014-12-01,4.82
2014-12-02,4.82
2014-12-03,4.81
2014-12-04,4.83
2014-12-05,4.77
2014-12-08,4.87
2014-12-09,5.06
2014-12-10,5.21
2014-12-11,5.25
2014-12-12,5.47
2014-12-15,5.52
2014-12-16,5.71
2014-12-17,5.48
2014-12-18,5.15
2014-12-19,5.09
2014-12-22,5.03
2014-12-23,4.94
2014-12-24,4.93
2014-12-25,.
2014-12-26,4.93
2014-12-29,4.96
2014-12-30,4.98
2014-12-31,5.04
2015-01-01,.
2015-01-02,5.08
2015-01-05,5.21
2015-01-06,5.37
2015-01-07,5.31
2015-01-08,5.17
